Temperature_K,Total_pressure_bar,Partial_pressure_CH4_bar,Partial_pressure_N2_bar,CH4_loading_mmol_g,N2_loading_mmol_g,CH4_N2_selectivity
273,0.92,0.46,0.46,0.8561068279322114,0.029182477611909032,29.33633118192967
273,0.93,0.465,0.465,0.8650980045340106,0.02870657125800072,30.135887590298747
273,0.9400000000000001,0.47000000000000003,0.47000000000000003,0.8740866890356807,0.028233894553145664,30.958771464926887
273,0.9500000000000001,0.47500000000000003,0.47500000000000003,0.8830720812095032,0.027764613104384404,31.805668528118417
273,0.9600000000000001,0.48000000000000004,0.48000000000000004,0.892053386106846,0.027298883483358887,32.67728464611501
273,0.97,0.485,0.485,0.9010298149286664,0.026836853493031748,33.574346380160435
273,0.98,0.49,0.49,0.9100005858569911,0.026378662425677907,34.49760155280523
273,0.99,0.495,0.495,0.9189649248475869,0.025924441312896757,35.447819829792245
273,1.0,0.5,0.5,0.9279220663840674,0.025474313168313577,36.42579331788503
298,0.01,0.005,0.005,0.005254222112079418,0.006908008270415086,0.760598700291322
298,0.02,0.01,0.01,0.009361584047571989,0.0081982556111565,1.1418995078455942
298,0.03,0.015,0.015,0.014480984227847915,0.009345913239443596,1.5494456086679906
298,0.04,0.02,0.02,0.020391784237524732,0.010476157726487216,1.9464945803524427
298,0.05,0.025,0.025,0.02681983226084897,0.011580388481618853,2.3159699956024062
298,0.060000000000000005,0.030000000000000002,0.030000000000000002,0.03354261875044638,0.012656056348435928,2.6503215398998816
298,0.06999999999999999,0.034999999999999996,0.034999999999999996,0.04041546509076426,0.013708012550354082,2.9483096066847647
298,0.08,0.04,0.04,0.0473547179977469,0.014742671734973104,3.212085220985441
298,0.09,0.045,0.045,0.05467104256183904,0.01587577145803508,3.443677852528471
298,0.09999999999999999,0.049999999999999996,0.049999999999999996,0.061519068333117155,0.016939680787660352,3.6316545219630405
298,0.11,0.055,0.055,0.06842353194955814,0.017915216220841548,3.8192970213754984
298,0.12,0.06,0.06,0.0766731077434243,0.019352823283812052,3.9618564495216892
298,0.13,0.065,0.065,0.08410385337746613,0.02069487875305224,4.063993531011234
298,0.14,0.07,0.07,0.09028888060755652,0.021665213669696273,4.167458580565307
298,0.15000000000000002,0.07500000000000001,0.07500000000000001,0.09820112001322417,0.02310909655012029,4.249457342490224
298,0.16,0.08,0.08,0.10543948278124247,0.024448494435332212,4.312718849012828
298,0.17,0.085,0.085,0.11095454880170523,0.025365773062731793,4.374183610619903
298,0.18000000000000002,0.09000000000000001,0.09000000000000001,0.11852309987211672,0.026739997911611763,4.4324274169314135
298,0.19,0.095,0.095,0.12549669035329755,0.028022908714346997,4.478360602482587
298,0.2,0.1,0.1,0.1318883235629902,0.029168807854106246,4.52155344238464
298,0.21000000000000002,0.10500000000000001,0.10500000000000001,0.13893992614629416,0.030476730453608915,4.558885552299838
298,0.22,0.11,0.11,0.14508172707461503,0.03155660839276726,4.597506971245604
298,0.23,0.115,0.115,0.15222243899946503,0.03287180278906423,4.630790710697081
298,0.24000000000000002,0.12000000000000001,0.12000000000000001,0.15918752785169932,0.034169446434956736,4.658768123584349
298,0.25,0.125,0.125,0.16489496410821736,0.03519515438358356,4.685160982988358
298,0.26,0.13,0.13,0.1717734843281269,0.03645368414494955,4.712102174504771
298,0.27,0.135,0.135,0.1776739596859094,0.03748478651825627,4.739895199866661
298,0.28,0.14,0.14,0.18476879726136844,0.03877463326460892,4.7651978034312945
298,0.29000000000000004,0.14500000000000002,0.14500000000000002,0.192187638233394,0.040162439530567855,4.7852580789351435
298,0.3,0.15,0.15,0.1974781362186193,0.0411030130620007,4.804468614520762
298,0.31,0.155,0.155,0.20463653393471568,0.04242199423855941,4.823831071777186
298,0.32,0.16,0.16,0.2109905840554245,0.043593863744908604,4.839914747865551
298,0.33,0.165,0.165,0.2170214562109334,0.04467287704258223,4.858013868327046
298,0.34,0.17,0.17,0.22434456272243075,0.04603391832367882,4.873462240276707
298,0.35000000000000003,0.17500000000000002,0.17500000000000002,0.22960751556276437,0.04697200393924128,4.8881779849070055
298,0.36000000000000004,0.18000000000000002,0.18000000000000002,0.23471734869582866,0.04783818858275036,4.9064848743136515
298,0.37,0.185,0.185,0.23978413065225587,0.04865582790050967,4.928168751800113
298,0.38,0.19,0.19,0.24481130872291512,0.04942655193455193,4.95303231038818
298,0.39,0.195,0.195,0.2498021255389257,0.050151994668169345,4.980901102573116
298,0.4,0.2,0.2,0.25475962754161824,0.050833780977660024,5.011620671174897
298,0.41000000000000003,0.20500000000000002,0.20500000000000002,0.2596866740641534,0.0514735161905686,5.045054103215419
298,0.42000000000000004,0.21000000000000002,0.21000000000000002,0.2645859467374197,0.052072777843950785,5.081079936436621
298,0.43,0.215,0.215,0.2694599589987542,0.052633109290491,5.119590361108239
298,0.44,0.22,0.22,0.2743110655354978,0.05315601484909736,5.160489670157353
298,0.45,0.225,0.225,0.27914147153842706,0.05364295623996215,5.203692918968479
298,0.46,0.23,0.23,0.28395324167449304,0.054095350082228676,5.249124762902254
298,0.47000000000000003,0.23500000000000001,0.23500000000000001,0.28874830871556245,0.05451456626572316,5.296718446003985
298,0.48000000000000004,0.24000000000000002,0.24000000000000002,0.2935284817812808,0.054901927037132287,5.346414918783383
298,0.49,0.245,0.245,0.29829545417088943,0.05525870666593506,5.398162066554074
298,0.5,0.25,0.25,0.3030508107716777,0.05558613157684661,5.451914032778421
